n	n	n	n	n
0.671497	0.488894	0.293871	0.325191	0.312859	
0.717239	1.034693	0.888396	1.370299	0.627707	
0.906682	0.897402	0.577284	0.545637	0.664917	
0.949679	0.531026	0.823323	0.580377	0.436306	
0.480659	0.792168	0.272284	0.521320	0.756409	
0.512499	0.249087	0.785499	0.976550	0.982539	
0.463365	0.936934	0.914238	0.876892	0.597588	
0.614308	0.529220	0.639759	0.560560	0.965870	
0.607949	0.140883	0.766710	0.343906	0.564494	
0.539298	0.603826	0.165151	0.483569	0.815587	
0.572457	0.725000	0.508904	0.452094	0.124542	
0.460149	0.922431	0.671373	0.858299	0.814811	
0.702556	0.960101	0.093567	0.377176	0.395905	
0.416775	0.905871	0.041674	0.868129	0.633521	
0.739630	0.034348	0.697205	0.688154	0.485158	
0.296634	0.293513	0.322974	0.418120	0.934178	
0.558721	0.530993	0.099256	0.456338	0.796763	
0.485045	0.285787	0.662310	0.056369	0.507469	
0.565957	0.531979	0.423174	0.734539	0.968573	
0.403866	0.577710	0.703349	0.399180	0.062349	
0.547786	0.728154	0.574030	0.009694	0.742018	
0.393792	0.067654	0.289061	0.535515	0.091573	
0.392308	0.409477	0.195932	0.795195	0.741677	
0.506163	0.457943	0.989835	0.870857	0.207301	
0.744032	0.820722	0.502202	0.257846	0.752565	
0.311756	0.694581	0.806173	0.625316	0.960037	
0.499569	0.178927	0.542308	0.755130	0.816063	
0.986140	0.284667	0.770085	0.979354	0.563145	
0.130722	0.268126	0.401439	0.137274	0.194089	
0.169081	0.301838	0.192616	0.247363	0.949767	
0.088868	0.073543	0.715231	0.896166	0.622834	
0.039588	0.125041	0.313573	0.953276	0.584490	
0.070899	0.901168	0.340171	0.293738	0.588775	
0.892232	0.604067	0.074553	0.910189	0.725468	
0.353958	0.853072	0.359858	0.583548	0.122387	
0.148140	0.212241	0.206071	0.151300	0.068390	
0.129279	0.331273	0.570348	0.635706	0.497881	
0.532219	0.655128	0.849093	0.981202	0.221108	
0.311924	0.776768	0.681927	0.179206	0.459445	
0.355583	0.547807	0.161836	0.035793	0.162550	
0.951530	0.266757	0.354299	0.149334	0.278737	
0.865984	0.093216	0.317518	0.830636	0.948345	
0.565361	0.354193	0.582526	0.266426	0.033087	
0.104916	0.579404	0.571525	0.757052	0.793723	
0.446218	0.420399	0.189813	0.367554	0.088811	
0.600279	0.782417	0.959447	0.811957	0.269101	
0.493094	0.658286	0.557059	0.150265	0.846356	
0.966197	0.482672	0.848843	0.214129	0.548067	
0.251729	0.474271	0.771392	0.591995	0.440691	
0.426640	0.670928	0.848227	0.682547	0.312163	
0.677839	0.941809	0.527568	0.971448	0.181761	
0.983480	0.536970	0.331223	0.467805	0.170476	
0.278006	0.046726	0.450229	0.918353	0.997976	
0.678371	0.048267	0.741732	0.184819	0.314731	
0.450206	0.251221	0.733674	0.257001	0.901900	
0.460803	0.508516	0.282763	0.316362	0.710548	
0.402044	0.456182	0.818615	0.343775	0.699813	
0.593625	0.968219	0.651694	0.615535	0.985375	
0.636871	0.854224	0.429878	0.654441	0.649704	
0.053241	0.475188	0.031703	0.199301	0.046233	
0.271292	0.457485	0.785167	0.406277	0.497594	
0.796022	0.394614	0.370391	0.024020	0.921740	
0.066093	0.769148	0.571036	0.183797	0.841075	
0.048994	0.917335	0.055458	0.813504	0.959889	
0.433603	0.167796	0.378748	0.183162	0.799087	
0.211343	0.729663	0.062851	0.924128	0.541392	
0.500472	0.513848	0.622189	0.157261	0.990818	
0.852408	0.308124	0.429627	0.467177	0.935924	
0.431462	0.875233	0.389243	0.313222	0.132324	
0.883681	0.068666	0.003575	0.422297	0.227437	
0.435042	0.895211	0.679157	0.258158	0.400862	
0.722391	0.590461	0.262373	0.546538	0.479748	
0.863105	0.567937	0.887827	0.533739	0.395232	
0.090697	0.961816	0.935261	0.566373	0.581828	
0.410636	0.124347	0.753897	0.922139	0.786130	
0.526354	0.616614	0.702234	0.384238	0.693501	
0.651205	0.217382	0.496855	0.388138	0.098155	
0.668688	0.906584	0.721765	0.400801	0.813529	
0.886283	0.953694	0.286514	0.930233	0.649330	
0.919261	0.605519	0.557758	0.306827	0.393814	
0.241654	0.367859	0.812227	0.653854	0.038006	
0.212009	0.280317	0.102445	0.192993	0.287732	
0.065830	0.838987	0.204895	0.870560	0.399014	
0.903253	0.307385	0.991358	0.399294	0.127281	
0.096843	0.778855	0.306495	0.260988	0.007534	
0.358555	0.649894	0.275549	0.307427	0.349884	
0.115069	0.174588	0.665027	0.551067	0.637681	
0.836820	0.389268	0.451561	0.369316	0.599003	
0.368652	0.225296	0.759077	0.603267	0.262098	
0.529450	0.233881	0.899679	0.803144	0.924146	
0.794430	0.927210	0.709920	0.358864	0.997688	
0.414014	0.320580	0.212326	0.821666	0.985812	
