n	n	n	n	n
0.091320	0.177599	2.215803	0.857555	1.867604	
1.718154	0.362128	1.375268	0.502559	0.803649	
0.423077	0.082968	0.145212	0.745334	0.109032	
0.922349	0.665909	0.699400	0.377312	0.983605	
0.814394	0.145908	0.347298	0.269914	0.086911	
0.201930	0.625977	0.037073	0.227170	0.087902	
0.390495	0.340698	0.957016	0.309899	0.204295	
0.295623	0.734126	0.937923	0.955321	0.231955	
0.440344	0.816457	0.112685	0.022895	0.042533	
0.102440	0.616271	0.414502	0.745141	0.890499	
0.941974	0.960424	0.536393	0.711475	0.594645	
0.450247	0.207496	0.954040	0.398232	0.533835	
0.107529	0.821997	0.149981	0.526311	0.937414	
0.272349	0.452692	0.833425	0.554022	0.728263	
0.840879	0.878919	0.024524	0.054305	0.445762	
0.408539	0.126826	0.515417	0.750089	0.518151	
0.358536	0.954874	0.430383	0.614638	0.132114	
0.871632	0.880672	0.676962	0.810594	0.025903	
0.358252	0.319265	0.490533	0.529676	0.278393	
0.165634	0.585450	0.305418	0.313018	0.613131	
0.276048	0.306017	0.202714	0.184508	0.178842	
0.194795	0.817659	0.335156	0.761869	0.846861	
0.461036	0.739366	0.148049	0.666689	0.000015	
0.506908	0.984563	0.831054	0.784187	0.360509	
0.349120	0.382087	0.234922	0.871582	0.372557	
0.294375	0.927725	0.792965	0.322842	0.596357	
0.966400	0.364660	0.406829	0.256755	0.296459	
0.701717	0.666144	0.308983	0.889087	0.373951	
0.370179	0.361406	0.920775	0.317682	0.664769	
0.875632	0.815098	0.299097	0.453490	0.401112	
0.480613	0.926840	0.254279	0.057538	0.586416	
0.700180	0.325761	0.776333	0.196301	0.903939	
0.378830	0.963852	0.168104	0.628263	0.580857	
0.583361	0.843810	0.213084	0.574370	0.385195	
0.846417	0.897661	0.601593	0.641237	0.107612	
0.511019	0.532160	0.633422	0.854403	0.134565	
0.251230	0.532130	0.363764	0.059027	0.323300	
0.192814	0.025305	0.542228	0.133084	0.445505	
0.386085	0.533644	0.060077	0.471818	0.146317	
0.652060	0.908002	0.757685	0.479422	0.088404	
0.704859	0.338584	0.793382	0.891938	0.605631	
0.914103	0.328170	0.958796	0.113156	0.372805	
0.839961	0.331278	0.045863	0.617073	0.475846	
0.180856	0.575500	0.916476	0.157670	0.559051	
0.842508	0.682159	0.800348	0.452543	0.285290	
0.384574	0.678288	0.756048	0.557079	0.298748	
0.088504	0.677212	0.092348	0.741843	0.504592	
0.377564	0.859692	0.011699	0.317962	0.527731	
0.079272	0.701277	0.826255	0.046976	0.874280	
0.127123	0.782225	0.807406	0.074770	0.441721	
0.943072	0.091520	0.660789	0.289856	0.797583	
0.080018	0.195129	0.085314	0.265857	0.615595	
0.495853	0.164826	0.678340	0.517430	0.770380	
0.250287	0.534073	0.873156	0.861372	0.870802	
0.695020	0.290986	0.074093	0.399364	0.674626	
0.622738	0.552028	0.440444	0.922536	0.139428	
0.538407	0.475779	0.599097	0.422687	0.537675	
0.207607	0.960762	0.745714	0.466018	0.986428	
0.576731	0.731537	0.525319	0.389669	0.840589	
0.101392	0.023366	0.717050	0.269847	0.163393	
0.193417	0.493855	0.858748	0.129309	0.355986	
0.043729	0.864450	0.657206	0.350321	0.893176	
0.736284	0.891779	0.946134	0.294378	0.956539	
0.627916	0.345685	0.768143	0.116763	0.289697	
0.562975	0.157170	0.153174	0.486140	0.453255	
0.580874	0.468170	0.612764	0.521716	0.987330	
0.107979	0.520485	0.777558	0.607958	0.102632	
0.995565	0.949203	0.363835	0.132148	0.299413	
0.342643	0.896661	0.806633	0.176125	0.633859	
0.650896	0.776492	0.396897	0.567168	0.198399	
0.517374	0.616984	0.677894	0.559612	0.144826	
0.053187	0.467079	0.341302	0.646791	0.711992	
0.977138	0.734247	0.526027	0.467247	0.746508	
0.751619	0.937070	0.052348	0.141134	0.221263	
0.116180	0.133665	0.197564	0.485680	0.314204	
0.112243	0.939458	0.427657	0.389033	0.692193	
0.380697	0.331459	0.409637	0.704301	0.555082	
0.051408	0.351014	0.979466	0.126100	0.490866	
0.990161	0.573334	0.712482	0.875428	0.355094	
0.113000	0.502491	0.302893	0.159475	0.995892	
0.386829	0.686002	0.375465	0.758791	0.071014	
0.150191	0.726507	0.770464	0.843665	0.700072	
0.372900	0.745191	0.663917	0.221180	0.663657	
0.178953	0.871894	0.266507	0.359383	0.076711	
0.593216	0.421083	0.752080	0.050260	0.070456	
0.076662	0.870249	0.384305	0.215588	0.218193	
0.753677	0.411397	0.178249	0.582170	0.994796	
0.720310	0.654382	0.944492	0.060968	0.879299	
0.527783	0.945361	0.627860	0.676625	0.651720	
0.287551	0.232257	0.549275	0.971416	0.778162	
0.515831	0.492350	0.026474	0.284342	0.288432	
0.420630	0.218470	0.591840	0.174669	0.481855	
0.556716	0.139481	0.374257	0.293202	0.134913	
