n	n	n	n	n
0.677404	0.580390	0.533436	1.498368	0.729858	
0.425717	0.637859	0.272601	0.434228	1.314887	
0.300783	0.505901	0.014491	0.689224	0.714906	
0.937971	0.276768	0.232754	0.535973	0.462494	
0.992781	0.836422	0.250828	0.756338	0.168048	
0.512832	0.026167	0.950343	0.512547	0.592181	
0.920616	0.048604	0.388255	0.780199	0.057268	
0.128428	0.360640	0.691714	0.350902	0.791800	
0.386664	0.770464	0.810377	0.681407	0.700617	
0.772432	0.758064	0.145965	0.795065	0.608104	
0.923317	0.867223	0.676598	0.548178	0.750875	
0.792501	0.216962	0.322688	0.226008	0.732086	
0.639649	0.562390	0.310475	0.437405	0.245024	
0.447912	0.250560	0.650548	0.411588	0.232035	
0.330760	0.291437	0.810118	0.964319	0.348115	
0.610513	0.572138	0.308424	0.461976	0.950486	
0.737128	0.253047	0.052793	0.240823	0.599846	
0.405056	0.407544	0.263042	0.187803	0.627380	
0.335700	0.299356	0.044816	0.643864	0.552361	
0.038688	0.199247	0.433777	0.230297	0.741808	
0.767049	0.670949	0.256957	0.921327	0.228963	
0.341398	0.933716	0.543677	0.620417	0.037717	
0.372828	0.558806	0.820629	0.371080	0.095124	
0.008470	0.743338	0.947103	0.243137	0.801338	
0.294817	0.327272	0.980571	0.649111	0.167228	
0.183461	0.826490	0.426560	0.180033	0.828959	
0.375975	0.174611	0.668950	0.636971	0.216354	
0.529360	0.107387	0.546533	0.962671	0.269465	
0.639472	0.558411	0.046390	0.752608	0.668394	
0.352332	0.159604	0.774607	0.368629	0.591638	
0.901946	0.496288	0.713342	0.218273	0.458076	
0.905253	0.028510	0.644396	0.923099	0.385400	
0.294557	0.057771	0.286900	0.210367	0.847350	
0.286769	0.525330	0.116656	0.692008	0.355054	
0.693071	0.505599	0.993726	0.254450	0.292732	
0.625661	0.210183	0.613179	0.434275	0.968337	
0.266060	0.291900	0.702296	0.986451	0.865644	
0.269492	0.626489	0.670055	0.633050	0.696810	
0.710435	0.797771	0.788437	0.156753	0.704341	
0.871949	0.114116	0.306666	0.872828	0.185614	
0.603145	0.434599	0.652295	0.880427	0.413703	
0.404132	0.246955	0.029611	0.740130	0.101584	
0.625101	0.220148	0.760071	0.910509	0.590944	
0.280385	0.913877	0.257419	0.132446	0.713584	
0.001532	0.640938	0.635857	0.614090	0.975509	
0.424121	0.261181	0.815784	0.930613	0.107074	
0.673310	0.518081	0.079055	0.115294	0.022367	
0.105563	0.399162	0.086958	0.831111	0.811087	
0.695621	0.221255	0.809771	0.576506	0.328832	
0.189071	0.425475	0.609656	0.211853	0.576876	
0.219087	0.781314	0.232310	0.503632	0.950464	
0.776083	0.018078	0.647714	0.767322	0.801438	
0.027279	0.964937	0.312466	0.357946	0.023992	
0.061752	0.876280	0.281004	0.818064	0.137237	
0.125295	0.380687	0.627516	0.835764	0.142421	
0.014103	0.989599	0.820193	0.444630	0.535731	
0.915109	0.440131	0.552530	0.030565	0.593099	
0.461401	0.403157	0.573996	0.754625	0.229389	
0.370653	0.080210	0.714757	0.462884	0.952214	
0.777888	0.208071	0.995178	0.907631	0.747090	
0.985856	0.422354	0.095343	0.920475	0.912730	
0.972518	0.350950	0.873419	0.688908	0.800664	
0.025175	0.341748	0.552456	0.661320	0.220740	
0.828208	0.180896	0.575630	0.060243	0.901028	
0.355569	0.920790	0.380037	0.979486	0.537775	
0.231053	0.463067	0.709058	0.705112	0.506778	
0.239352	0.135322	0.127474	0.706387	0.242335	
0.110139	0.198420	0.419673	0.514114	0.604485	
0.828081	0.323037	0.831154	0.722072	0.367963	
0.358524	0.937863	0.449355	0.434127	0.783079	
0.705655	0.443066	0.014990	0.883325	0.787518	
0.574910	0.333070	0.171498	0.587489	0.841511	
0.685089	0.604873	0.700105	0.901963	0.809532	
0.238576	0.649159	0.085079	0.306817	0.327732	
0.924496	0.136393	0.050129	0.106812	0.671484	
0.294645	0.146183	0.155185	0.035082	0.451581	
0.188542	0.309393	0.150035	0.310170	0.008304	
0.173717	0.430277	0.026305	0.382441	0.177514	
0.698226	0.128759	0.877866	0.953910	0.944146	
0.614595	0.672820	0.314628	0.231354	0.593288	
0.478094	0.492884	0.201052	0.422631	0.246396	
0.250448	0.215859	0.423098	0.136224	0.283997	
0.266832	0.025900	0.055972	0.345100	0.177877	
0.409865	0.400824	0.968952	0.508178	0.439755	
0.819842	0.152373	0.355199	0.001385	0.561454	
0.616363	0.940506	0.062424	0.804051	0.434130	
0.676218	0.106091	0.679150	0.764772	0.535722	
0.572001	0.858898	0.775985	0.075347	0.127971	
0.413128	0.389744	0.541305	0.129059	0.908403	
0.812094	0.414161	0.025533	0.544519	0.350980	
0.921300	0.381096	0.510217	0.970867	0.883013	
0.606299	0.343990	0.885500	0.463209	0.529467	
0.357060	0.399627	0.527345	0.378616	0.207462	
0.354138	0.589000	0.907659	0.681089	0.499518	
0.712962	0.369781	0.817170	0.868385	0.555805	
0.867128	0.179302	0.009800	0.788086	0.491795	
0.409940	0.834854	0.127530	0.221618	0.466997	
0.915926	0.266558	0.244539	0.948705	0.069821	
0.980039	0.576345	0.498613	0.891140	0.216579	
0.406569	0.925586	0.739149	0.108298	0.658828	
0.346755	0.045310	0.732791	0.031396	0.088439	
0.358374	0.157727	0.557765	0.743772	0.313242	
0.119499	0.633958	0.436314	0.043918	0.516121	
0.888653	0.625571	0.601056	0.912223	0.717639	
0.372789	0.373029	0.350273	0.862371	0.229368	
0.368912	0.588058	0.691462	0.256164	0.738577	
0.580741	0.359343	0.136513	0.115999	0.384520	
0.401568	0.335890	0.372619	0.936690	0.047534	
0.851962	0.851870	0.719498	0.469357	0.433603	
0.192129	0.696945	0.369790	0.243547	0.230433	
0.797012	0.009430	0.889736	0.496080	0.164330	
0.601070	0.154326	0.032096	0.024644	0.267835	
0.732685	0.576004	0.598879	0.236975	0.287202	
0.780058	0.770845	0.811214	0.605884	0.291948	
0.445120	0.142268	0.354732	0.410422	0.606146	
0.326943	0.877767	0.421845	0.754847	0.340579	
0.783130	0.249721	0.674653	0.721033	0.783665	
0.825153	0.755444	0.532574	0.878043	0.034720	
0.994184	0.929771	0.415517	0.932514	0.834043	
0.631700	0.710346	0.655964	0.191664	0.898668	
0.922751	0.267684	0.919953	0.276598	0.597888	
0.689884	0.626877	0.791236	0.692423	0.631297	
0.625950	0.197269	0.998393	0.126820	0.128007	
0.971149	0.889160	0.876745	0.392981	0.870253	
0.671119	0.438196	0.425268	0.842799	0.502696	
0.140239	0.318266	0.724584	0.378081	0.552011	
0.260114	0.976683	0.980702	0.418485	0.944624	
0.399354	0.759706	0.519481	0.155199	0.081954	
0.490529	0.236395	0.049862	0.834178	0.292175	
0.219278	0.776446	0.696188	0.430131	0.249487	
0.601390	0.399037	0.350232	0.271740	0.301193	
0.827116	0.063427	0.503152	0.577895	0.990369	
