n	n	n	n	n
0.024312	1.085115	0.344796	1.175149	1.831541	
0.156513	1.999638	0.796935	1.300239	1.152325	
0.843919	0.081041	0.278972	0.008924	0.328022	
0.128583	0.991932	0.789542	0.672530	0.902742	
0.589845	0.166601	0.957092	0.774214	0.441218	
0.300874	0.022832	0.361925	0.037285	0.078896	
0.924478	0.468059	0.499712	0.074335	0.797931	
0.612130	0.681859	0.249179	0.919198	0.237648	
0.002770	0.102600	0.658994	0.924753	0.404797	
0.556519	0.458748	0.540781	0.869992	0.594589	
0.220308	0.179768	0.337726	0.881519	0.233258	
0.565249	0.610361	0.639951	0.815576	0.662579	
0.877614	0.642500	0.166667	0.407603	0.886953	
0.357185	0.337857	0.799813	0.465639	0.754226	
0.586564	0.722372	0.275962	0.416248	0.363914	
0.715505	0.969863	0.817180	0.910819	0.325445	
0.697682	0.958869	0.746180	0.345027	0.722801	
0.463851	0.656840	0.030247	0.486708	0.313010	
0.245888	0.130028	0.984979	0.109430	0.540446	
0.827670	0.446242	0.839829	0.767483	0.123159	
0.666187	0.748836	0.750714	0.590356	0.063493	
0.650638	0.100704	0.123247	0.823667	0.024460	
0.745676	0.846197	0.280480	0.765805	0.916335	
0.253481	0.304727	0.933941	0.231411	0.471450	
0.542181	0.559049	0.473129	0.641403	0.537223	
0.870047	0.368880	0.657319	0.515502	0.080165	
0.937786	0.658153	0.894183	0.272017	0.952853	
0.805512	0.553685	0.482546	0.243148	0.261081	
0.047391	0.327224	0.151436	0.069213	0.073164	
0.278715	0.337936	0.433004	0.780822	0.650532	
0.025662	0.012279	0.368159	0.128348	0.856332	
0.288325	0.252971	0.638778	0.126162	0.627444	
0.026119	0.457611	0.943937	0.314675	0.804442	
0.193253	0.195175	0.631327	0.846282	0.639525	
0.291427	0.815186	0.781545	0.330275	0.655888	
0.490170	0.604388	0.213971	0.503260	0.754361	
0.351176	0.965885	0.792820	0.044266	0.818356	
0.254160	0.575005	0.877120	0.421113	0.818117	
0.418608	0.952171	0.668637	0.068453	0.169792	
0.812056	0.598884	0.687372	0.416639	0.863859	
0.301640	0.101538	0.384649	0.786544	0.103837	
0.488467	0.144597	0.447495	0.742324	0.250943	
0.101079	0.817047	0.399279	0.094984	0.656491	
0.527913	0.736345	0.751866	0.477132	0.925619	
0.254168	0.914441	0.740412	0.609612	0.243699	
0.615317	0.096261	0.086947	0.446958	0.930748	
0.764303	0.235883	0.970187	0.423897	0.012580	
0.149421	0.006629	0.921145	0.282381	0.247746	
0.716128	0.698629	0.446629	0.876093	0.843591	
0.086074	0.535126	0.265234	0.574009	0.119350	
0.742363	0.202546	0.564826	0.508769	0.914601	
0.201784	0.611050	0.244742	0.834962	0.634149	
0.633964	0.779723	0.280547	0.359385	0.516224	
0.281101	0.085236	0.259828	0.416090	0.110826	
0.107318	0.349478	0.286041	0.535518	0.358161	
0.169954	0.558237	0.233711	0.233857	0.762310	
0.074427	0.161289	0.941773	0.645550	0.048383	
0.185374	0.171206	0.414696	0.558736	0.499750	
0.008412	0.644830	0.905231	0.364086	0.137859	
0.798404	0.377569	0.535070	0.475368	0.291292	
0.583708	0.143011	0.512503	0.301793	0.070738	
0.684931	0.596867	0.963279	0.442715	0.431323	
0.332840	0.453166	0.693082	0.249315	0.381610	
0.362874	0.625042	0.520933	0.888837	0.549841	
0.299182	0.094775	0.664601	0.326120	0.988998	
0.823792	0.550621	0.632825	0.645317	0.682115	
0.385033	0.361717	0.053512	0.467285	0.165329	
0.057946	0.612991	0.863729	0.380609	0.948745	
0.719961	0.325446	0.820031	0.924079	0.493568	
0.233294	0.859366	0.342757	0.532142	0.159576	
0.351631	0.018289	0.195798	0.331424	0.316183	
0.625145	0.934791	0.865289	0.180204	0.406128	
0.748067	0.226096	0.249422	0.302348	0.859431	
0.125381	0.151918	0.036457	0.524205	0.045066	
0.754621	0.373148	0.009014	0.905687	0.368175	
0.472670	0.749426	0.083281	0.513440	0.123606	
0.940794	0.341936	0.294182	0.297602	0.574261	
0.640102	0.450769	0.883905	0.006088	0.251212	
0.845665	0.968661	0.621968	0.472337	0.651670	
0.588339	0.646443	0.110250	0.121463	0.739752	
0.831589	0.887367	0.054896	0.621965	0.148137	
0.541779	0.705012	0.330446	0.443744	0.976079	
0.340676	0.306367	0.196210	0.822027	0.251543	
0.813633	0.065145	0.855143	0.010108	0.638748	
0.221499	0.766209	0.592763	0.727298	0.443446	
0.401629	0.436152	0.340989	0.735926	0.414345	
0.112359	0.691255	0.840823	0.447926	0.097620	
0.962885	0.357363	0.313519	0.495142	0.524936	
0.654648	0.542054	0.956673	0.706558	0.368261	
0.045198	0.272338	0.030942	0.960759	0.604231	
0.369443	0.279420	0.991009	0.029102	0.247922	
0.837050	0.139467	0.021797	0.403480	0.338764	
0.181684	0.408894	0.105448	0.676901	0.885701	
0.119238	0.201297	0.767851	0.337512	0.471831	
0.452488	0.619831	0.663435	0.748162	0.212119	
0.360725	0.614267	0.566798	0.679152	0.232515	
0.816800	0.314861	0.156790	0.237002	0.099308	
0.295704	0.146119	0.571030	0.374232	0.319654	
0.590399	0.508931	0.875668	0.659497	0.380227	
0.151866	0.952659	0.800991	0.044257	0.933672	
0.694502	0.633677	0.877268	0.350135	0.378498	
0.616507	0.053984	0.354860	0.084531	0.512668	
0.808971	0.712189	0.258600	0.666252	0.940755	
0.126158	0.618342	0.871478	0.173309	0.496762	
0.151077	0.807475	0.232990	0.297791	0.046029	
0.054188	0.464894	0.583220	0.440043	0.529371	
0.777750	0.198823	0.225772	0.095306	0.033963	
0.479203	0.102526	0.051696	0.425841	0.436909	
0.177431	0.228921	0.162372	0.221829	0.871767	
0.395599	0.925943	0.191177	0.348563	0.273648	
0.292129	0.922790	0.927008	0.519713	0.994949	
0.748017	0.921387	0.053764	0.929722	0.163379	
0.869673	0.975175	0.092964	0.217852	0.746476	
0.434676	0.803445	0.027240	0.761237	0.677432	
0.484489	0.807165	0.894101	0.023554	0.331576	
0.679271	0.721873	0.491388	0.542688	0.748185	
0.447531	0.935013	0.816110	0.607968	0.394389	
0.205732	0.370651	0.056137	0.740445	0.665619	
0.491979	0.449093	0.060963	0.589300	0.573421	
0.887274	0.024656	0.729160	0.519775	0.377625	
0.336635	0.123762	0.910746	0.358820	0.682534	
0.694549	0.896780	0.166682	0.850301	0.082185	
0.812803	0.950061	0.230053	0.189729	0.070856	
